Year,Milk and milk products excluding cheese,Cheese,Carcase meat,Non-carcase meat and meat products,Fish,Eggs,Fats,Sugar and preserves,Fresh and processed potatoes,"Fresh and processed vegetables, excluding potatoes",Fresh and processed fruit,Bread,Flour,"Cakes, buns and pastries",Biscuits and crispbreads,Other cereals and cereal products,Beverages,"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",Soft drinks,Confectionery,Alcoholic drinks
1974,29.2287077765,8.6940484463,44.4797838803,55.9154682906,13.6523419474,11.4299766169,14.5370652643,9.186113732,13.9125608841,27.1235583074,21.010712478,21.2793270153,2.2969133315,12.2718385705,11.7932652263,10.5958286748,11.9134487912,12.11604502,0,0,0
1975,37.239801699,10.3771221693,52.2597803869,65.1597792861,15.945793103,11.4635538846,18.0691243668,15.5540814502,21.5608900391,32.7616878358,25.4031738548,24.5423869706,2.2714426111,14.1269619451,14.939924388,13.3800484505,13.2886053511,15.0248579529,0,0,0
1976,49.0306907274,12.0510830482,58.879760945,75.8377100224,18.3600737233,12.8516450045,20.8434882587,14.7612454284,32.4502783737,36.7922190676,27.8097453232,26.9536623681,2.5742797891,14.3749071021,16.118992398,15.4315098795,16.5619985809,17.3974863899,0,0,0
1977,57.835677291,15.1219834898,69.653562635,90.9528223114,20.5272758921,14.0770328945,25.6406348082,15.6320952868,26.8399019029,41.7485145187,33.9121660825,32.0145771326,3.6648313418,16.3626246158,18.7969623153,18.1600918511,26.7621255163,19.5841853329,0,0,0
1978,65.5295432347,16.6221460331,80.3757355597,101.2629231868,24.0315650541,14.1772907461,27.9288897737,16.3146152108,24.1507031914,43.3834459493,37.1828149355,36.6076498412,3.8590776109,17.9510095966,20.9704318521,21.1654003897,29.0130891637,21.3168647178,0,0,0
1979,74.0164400582,20.1568855224,92.2133323312,117.090875483,27.9473411057,16.2665329915,31.1069625151,18.0228355389,31.1136420658,51.6142045722,41.1427670065,41.3337526341,3.8651299713,21.093359594,23.9701660048,24.8071726819,30.0004332279,24.3354504095,0,0,0
1980,83.7690097093,23.7890311212,104.835842036,129.9387597861,32.3847899601,17.6111856271,32.8756943343,19.5613683517,32.5572670817,58.1857703027,48.4059543845,47.696865564,4.0549250148,23.1230764865,26.9780315891,30.3090333947,31.5186530199,28.2300848128,0,0,0
1981,89.1501286768,26.0330034896,102.356372077,141.5252458148,34.6417335399,18.6178957521,33.2891594376,21.1587037484,38.2218236756,62.1026267011,50.6635868946,51.0957854113,4.434200861,25.3846351162,28.1756299438,33.9933019846,30.9246490775,31.6128291867,0,0,0
1982,94.8464590135,27.2540295999,108.9698739039,152.0021113901,36.4703630666,18.5387561097,33.6129284355,21.4497787235,45.7357943392,63.6492389297,52.2833411017,52.607174322,4.2678493976,27.0646511498,30.2168511187,36.4970809855,30.9138491381,33.484383552,0,0,0
1983,97.4156857609,29.5904544601,107.7655346581,159.7229643707,40.9524670842,18.2927188702,34.0227976955,22.5471574737,47.9679535623,71.892836232,60.6469518492,54.2203700413,4.0597892297,27.9897670298,30.6330779767,37.8823032436,36.8220796222,36.825037331,0,0,0
1984,100.0387631811,29.0854686696,104.3848966081,167.1704431305,41.2435663114,19.2461102562,35.5460156104,21.9437778392,52.8160879556,75.072533172,61.6187313247,55.9547791555,3.5728138326,29.4702040103,30.7129660831,42.4032935907,43.1437699388,38.7359316315,0,0,0
1985,102.7075863561,31.1914016038,110.2140921772,171.8750118052,44.9764251611,19.3129921498,36.9818158599,20.5816229274,47.3573705839,81.5254885589,65.7632396823,58.6880665371,3.4607608321,30.6191158413,31.8581731713,46.1330930299,46.8270486118,40.5159344146,0,0,0
1986,108.3812186041,33.7986773227,112.6815228509,182.3254977342,50.9539197746,18.5315968697,36.5510645586,20.7563417647,54.2171247227,91.042737885,76.1831910754,65.1135194044,3.8830463098,32.5990621603,34.3482248952,52.7608437001,49.5624226976,45.2036738091,0,0,0
1987,112.8636218912,34.0783587349,110.4436006305,194.4684597446,54.1061798335,18.8314782448,33.7331320805,20.5934316162,62.7200472714,96.5403189245,80.7767077385,66.5907096186,3.9050154868,35.3721049427,35.843474353,57.6911131221,47.9092013579,47.2437594115,0,0,0
1988,117.5214694086,38.0659924885,114.4922683804,202.6591830931,58.6132941645,17.7075018732,34.9755341152,20.9319876266,61.4215669493,105.6451625168,88.2814603041,70.9159705393,3.8432695605,37.1245289382,37.7163760322,63.7536268647,48.7269384401,50.693524707,0,0,0
1989,126.5379264724,39.8825482815,122.4623076527,224.4986273574,64.1774550987,16.2548759364,36.5690877529,20.8187537715,66.5466983332,111.887144657,93.8463145424,73.0893408146,3.8135520165,38.6627092435,39.9401331846,72.2996407097,49.7002196131,56.322284132,0,0,0
1990,133.6093774541,41.308935885,115.5267959363,244.4838641159,67.7842744983,17.8643698889,36.658505454,21.2655147641,73.9801084323,120.7174280094,104.91383781,73.9463771607,3.7157610456,42.2267433014,42.4321882165,80.3267466747,49.8764710288,60.5124103179,0,0,0
1991,141.1436957373,43.3169225228,117.8711472199,244.0859099523,67.6094741324,18.4301411331,37.0353566491,22.9965950467,74.9648044013,130.8631652228,116.7313471865,74.022421486,3.7107852906,43.6298953963,43.6497389416,91.6567484188,53.21801124,69.4400993824,0,0,0
1992,151.5986125348,45.9305202079,107.5996634972,259.5124086225,69.5007003487,17.1892185478,38.4945498456,21.4237832672,82.3718657686,130.3733539961,112.8808208357,75.9134208278,3.9155988946,45.1053315529,45.5750833348,100.1672241004,50.4530875442,75.3648843291,47.285744038,55.9036098663,151.0045260554
1993,153.5458305106,47.6591383677,110.6191389592,284.480910817,73.6328392931,16.2294887079,37.6162952745,21.5196622335,84.7753205973,132.0851838763,110.8684199702,75.6361381101,3.7918123014,47.2649509564,46.3730100278,97.160829992,48.7824692341,76.017806233,49.3024685843,59.5671421094,158.0297901554
1994,149.6091275622,46.7652194511,104.5077774461,285.205516218,73.0646040471,15.8754859871,37.042480013,20.3172505698,92.0487511726,133.0577321869,112.3832081458,74.9509751675,2.7151009564,50.098584755,45.2537237962,98.2326979757,50.0842250257,77.5429559137,47.837856513,59.7740251442,152.4365460904
