Year,Expenditures
1974,331.4370042534
1975,403.3690157449
1976,469.08077643
1977,547.2870652187
1978,601.8431960472
1979,690.097283714
1980,775.8253425765
1981,823.3813113886
1982,869.864514277
1983,919.2499464912
1984,952.1601523013
1985,990.5892393037
1986,1068.8936861391
1987,1113.7107150032
1988,1173.0896560023
1989,1257.3096195701
1990,1331.1497099939
1991,1394.3762593599
1992,1687.5640080156
1993,1734.9586463112
1994,1728.8038441375
1995,1843.6007611021
1996,1938.3869728015
1997,1963.5529449326
1998,1992.3625995835
1999,1990.2210085644
2000,2083.2459249649
2001,2152.2535058135
2002,2190.911468377
2003,2267.0716300966
2004,2304.7794638425
2005,2356.2222369657
2006,2428.2963585983
2007,2494.8277670559
2008,2562.4123293026
2009,2674.8911226402
2010,2757.4768769833
2011,2799.4535839777
2012,2928.5264982999
2013,2986.3730913954
